time,bandVelocityActual,currentRMS,feedRateActual,machineRunning,microphoneRMS,temperatureRMS,vibrationRMS,Experiment No,Piece No,Material
2025-12-12 14:49:43,2,0.8867789506912231,390,True,0.07486442476511,24.348552703857425,3.5031681060791016,-1,-1,Empty
2025-12-12 14:49:44,41,0.8383839726448059,390,True,0.0840091109275817,24.35719108581543,4.272558212280273,-1,-1,Empty
2025-12-12 14:49:45,41,0.8766213059425354,390,True,0.0869717001914978,24.344240188598633,3.908589601516723,-1,-1,Empty
2025-12-12 14:49:46,41,0.9603191018104552,390,True,0.0725880414247512,24.345861434936523,2.589308738708496,-1,-1,Empty
2025-12-12 14:49:47,41,1.1206276416778564,390,True,0.082788810133934,24.32773208618164,2.690249443054199,-1,-1,Empty
2025-12-12 14:49:48,41,1.1202468872070312,390,True,0.0830098390579223,24.33428001403809,2.763230800628662,-1,-1,Empty
2025-12-12 14:49:49,41,1.1471925973892212,390,True,0.0989750921726226,24.344541549682617,2.42081069946289,-1,-1,Empty
2025-12-12 14:49:50,41,1.1329108476638794,390,True,0.096529982984066,24.349742889404297,3.063124418258667,-1,-1,Empty
2025-12-12 14:49:51,41,1.1388622522354126,390,True,0.0867159813642501,24.350765228271484,3.795638084411621,-1,-1,Empty
2025-12-12 14:49:52,41,1.131528377532959,390,True,0.0832386761903762,24.349628448486328,3.287389755249023,-1,-1,Empty
2025-12-12 14:49:53,41,1.140592336654663,390,True,0.0910108312964439,24.34560775756836,4.477349758148193,-1,-1,Empty
2025-12-12 14:49:54,41,1.1430028676986694,390,True,0.0878842547535896,24.333820343017575,3.774037599563598,-1,-1,Empty
2025-12-12 14:49:55,41,1.14831805229187,390,True,0.0852217599749565,24.336475372314453,4.152428150177002,-1,-1,Empty
2025-12-12 14:49:56,41,1.1670656204223633,390,True,0.0852822884917259,24.345787048339844,3.474090337753296,-1,-1,Empty
2025-12-12 14:49:57,41,1.179677963256836,390,True,0.0915035456418991,24.329627990722656,4.440433025360107,-1,-1,Empty
2025-12-12 14:49:58,41,1.1446536779403689,390,True,0.0879953876137733,24.333776473999023,4.452646255493164,-1,-1,Empty
2025-12-12 14:49:59,41,1.10987651348114,390,True,0.0791807919740676,24.33013916015625,3.607876300811768,-1,-1,Empty
2025-12-12 14:50:00,41,1.1124261617660522,390,True,0.0778987780213356,24.330970764160156,2.776092290878296,-1,-1,Empty
2025-12-12 14:50:01,41,1.1084508895874023,390,True,0.0730973705649375,24.33094596862793,2.394181728363037,-1,-1,Empty
2025-12-12 14:50:02,41,1.0891215801239014,390,True,0.0771998241543769,24.336353302001953,3.2754123210906982,-1,-1,Empty
2025-12-12 14:50:03,41,1.1519895792007446,390,True,0.0738209336996078,24.324098587036133,2.5213825702667236,-1,-1,Empty
2025-12-12 14:50:04,41,1.186438798904419,390,True,0.0799579322338104,24.32140350341797,2.8293118476867676,-1,-1,Empty
2025-12-12 14:50:05,41,1.1766401529312134,390,True,0.0815202742815017,24.316219329833984,3.728535890579224,-1,-1,Empty
2025-12-12 14:50:07,41,1.1545764207839966,390,True,0.0865442901849746,24.31302070617676,3.244128942489624,-1,-1,Empty
2025-12-12 14:50:09,41,1.101954698562622,390,True,0.0776044130325317,24.30698585510254,3.5620322227478027,-1,-1,Empty
2025-12-12 14:50:10,41,1.1892526149749756,390,True,0.0717952325940132,24.31962203979492,3.733219861984253,-1,-1,Empty
2025-12-12 14:50:11,41,1.1792261600494385,390,True,0.076011411845684,24.308086395263672,2.6800613403320312,-1,-1,Empty
2025-12-12 14:50:12,41,1.180203199386597,390,True,0.0752984508872032,24.30904006958008,2.832972764968872,-1,-1,Empty
2025-12-12 14:50:13,41,1.192874312400818,390,True,0.0802788063883781,24.30743980407715,3.1180179119110107,-1,-1,Empty
2025-12-12 14:50:14,41,1.1899394989013672,390,True,0.0827941671013832,24.310203552246097,2.687699556350708,-1,-1,Empty
2025-12-12 14:50:16,41,1.1568944454193115,390,True,0.0770846903324127,24.31388282775879,2.8243653774261475,-1,-1,Empty
2025-12-12 14:50:17,41,1.221020221710205,390,True,0.0732477158308029,24.310108184814453,2.5818464756011963,-1,-1,Empty
2025-12-12 14:50:19,41,1.155362844467163,390,True,0.0747456401586532,24.309072494506836,2.8694872856140137,-1,-1,Empty
2025-12-12 14:50:20,41,1.1577290296554563,390,True,0.0732660740613937,24.30371856689453,2.6376430988311768,-1,-1,Empty
2025-12-12 14:50:22,41,1.1620500087738037,390,True,0.0884459465742111,24.30830955505371,2.721207618713379,-1,-1,Empty
2025-12-12 14:50:23,41,1.151252508163452,390,True,0.0755179226398468,24.30284118652344,2.4273085594177246,-1,-1,Empty
